drugbank_id,drug_name,drug_type,groups,smiles,inchikey,molecular_weight,target_uniprot,target_id,target_name,target_organism,actions,known_action
DB00080,Daptomycin,small molecule,approved;investigational,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=CC=CC=C2N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O,DOAKLVKFURWEDJ-QCMAZARJSA-N,1620.693,P0AC13,BE0000803,Dihydropteroate synthase,Escherichia coli (strain K12),binder,yes
DB00080,Daptomycin,small molecule,approved;investigational,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=CC=CC=C2N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O,DOAKLVKFURWEDJ-QCMAZARJSA-N,1620.693,,BE0010021,Cytoplasmic membrane,Bacteria,incorporation into and destabilization,yes
DB00091,Cyclosporine,small molecule,approved;investigational;vet_approved,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,PMATZTZNYRCHOR-CGLBZJNRSA-N,1202.635,P49069,BE0000379,Guided entry of tail-anchored proteins factor CAMLG,Humans,binder,yes
DB00091,Cyclosporine,small molecule,approved;investigational;vet_approved,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,PMATZTZNYRCHOR-CGLBZJNRSA-N,1202.635,Q08209,BE0004238,Protein phosphatase 3 catalytic subunit alpha,Humans,inhibitor,yes
DB00091,Cyclosporine,small molecule,approved;investigational;vet_approved,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,PMATZTZNYRCHOR-CGLBZJNRSA-N,1202.635,Q96LZ3,BE0002143,Calcineurin subunit B type 2,Humans,inhibitor,yes
DB00091,Cyclosporine,small molecule,approved;investigational;vet_approved,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,PMATZTZNYRCHOR-CGLBZJNRSA-N,1202.635,P62937,BE0001014,Peptidyl-prolyl cis-trans isomerase A,Humans,inhibitor;binder,yes
DB00091,Cyclosporine,small molecule,approved;investigational;vet_approved,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,PMATZTZNYRCHOR-CGLBZJNRSA-N,1202.635,P30405,BE0001399,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",Humans,binder,yes
DB00106,Abarelix,small molecule,approved;investigational;withdrawn,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,AIWRTTMUVOZGPW-HSPKUQOVSA-N,1416.09,P30968,BE0000203,Gonadotropin-releasing hormone receptor,Humans,antagonist,yes
DB00114,Pyridoxal phosphate,small molecule,approved;investigational;nutraceutical,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,NGVDGCNFYWLIFO-UHFFFAOYSA-N,247.1419,P80404,BE0000253,"4-aminobutyrate aminotransferase, mitochondrial",Humans,inhibitor,yes
DB00114,Pyridoxal phosphate,small molecule,approved;investigational;nutraceutical,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,NGVDGCNFYWLIFO-UHFFFAOYSA-N,247.1419,P00734,BE0000048,Prothrombin,Humans,inhibitor,yes
DB00115,Cyanocobalamin,small molecule,approved;nutraceutical,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,RMRCNWBMXRMIRW-WZHZPDAFSA-L,1355.3652,Q99707,BE0000734,Methionine synthase,Humans,cofactor,yes
DB00115,Cyanocobalamin,small molecule,approved;nutraceutical,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,RMRCNWBMXRMIRW-WZHZPDAFSA-L,1355.3652,P22033,BE0000777,"Methylmalonyl-CoA mutase, mitochondrial",Humans,cofactor,yes
DB00120,Phenylalanine,small molecule,approved;investigational;nutraceutical,N[C@@H](CC1=CC=CC=C1)C(O)=O,COLNVLDHVKWLRT-QMMMGPOBSA-N,165.1891,P07101,BE0000614,Tyrosine 3-monooxygenase,Humans,binder,yes
DB00126,Ascorbic acid,small molecule,approved;nutraceutical,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,176.1241,Q9UGH3,BE0009869,Solute carrier family 23 member 2,Humans,modulator,yes
DB00126,Ascorbic acid,small molecule,approved;nutraceutical,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,176.1241,Q9UHI7,BE0000168,Solute carrier family 23 member 1,Humans,modulator,yes
DB00127,Spermine,small molecule,experimental;nutraceutical,NCCCNCCCCNCCCN,PFNFFQXMRSDOHW-UHFFFAOYSA-N,202.3402,P52788,BE0000964,Spermine synthase,Humans,ligand,yes
DB00127,Spermine,small molecule,experimental;nutraceutical,NCCCNCCCCNCCCN,PFNFFQXMRSDOHW-UHFFFAOYSA-N,202.3402,P22748,BE0000535,Carbonic anhydrase 4,Humans,inhibitor,yes
DB00127,Spermine,small molecule,experimental;nutraceutical,NCCCNCCCCNCCCN,PFNFFQXMRSDOHW-UHFFFAOYSA-N,202.3402,Q05586,BE0000365,"Glutamate receptor ionotropic, NMDA 1",Humans,inhibitor,yes
DB00127,Spermine,small molecule,experimental;nutraceutical,NCCCNCCCCNCCCN,PFNFFQXMRSDOHW-UHFFFAOYSA-N,202.3402,Q16790,BE0002437,Carbonic anhydrase 9,Humans,inhibitor,yes
DB00127,Spermine,small molecule,experimental;nutraceutical,NCCCNCCCCNCCCN,PFNFFQXMRSDOHW-UHFFFAOYSA-N,202.3402,P23280,BE0003628,Carbonic anhydrase 6,Humans,inhibitor,yes
DB00127,Spermine,small molecule,experimental;nutraceutical,NCCCNCCCCNCCCN,PFNFFQXMRSDOHW-UHFFFAOYSA-N,202.3402,Q9ULX7,BE0003634,Carbonic anhydrase 14,Humans,inhibitor,yes
DB00127,Spermine,small molecule,experimental;nutraceutical,NCCCNCCCCNCCCN,PFNFFQXMRSDOHW-UHFFFAOYSA-N,202.3402,Q12879,BE0000760,"Glutamate receptor ionotropic, NMDA 2A",Humans,inhibitor,yes
DB00127,Spermine,small molecule,experimental;nutraceutical,NCCCNCCCCNCCCN,PFNFFQXMRSDOHW-UHFFFAOYSA-N,202.3402,Q9NWM0,BE0000566,Spermine oxidase,Humans,ligand,yes
DB00127,Spermine,small molecule,experimental;nutraceutical,NCCCNCCCCNCCCN,PFNFFQXMRSDOHW-UHFFFAOYSA-N,202.3402,,BE0004796,DNA,Humans,binder,yes
DB00128,Aspartic acid,small molecule,approved;nutraceutical,N[C@@H](CC(O)=O)C(O)=O,CKLJMWTZIZZHCS-REOHCLBHSA-N,133.1027,Q12879,BE0000760,"Glutamate receptor ionotropic, NMDA 2A",Humans,agonist,yes
DB00128,Aspartic acid,small molecule,approved;nutraceutical,N[C@@H](CC(O)=O)C(O)=O,CKLJMWTZIZZHCS-REOHCLBHSA-N,133.1027,Q13224,BE0000417,"Glutamate receptor ionotropic, NMDA 2B",Humans,agonist,yes
DB00128,Aspartic acid,small molecule,approved;nutraceutical,N[C@@H](CC(O)=O)C(O)=O,CKLJMWTZIZZHCS-REOHCLBHSA-N,133.1027,Q05586,BE0000365,"Glutamate receptor ionotropic, NMDA 1",Humans,agonist,yes
DB00131,Adenosine phosphate,small molecule,approved;investigational;nutraceutical;withdrawn,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,UDMBCSSLTHHNCD-KQYNXXCUSA-N,347.2212,Q13131,BE0004907,5'-AMP-activated protein kinase,Humans,activator,yes
DB00132,alpha-Linolenic acid,small molecule,approved;investigational;nutraceutical,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,DTOSIQBPPRVQHS-PDBXOOCHSA-N,278.4296,O14842,BE0000688,Free fatty acid receptor 1,Humans,agonist,yes
DB00132,alpha-Linolenic acid,small molecule,approved;investigational;nutraceutical,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,DTOSIQBPPRVQHS-PDBXOOCHSA-N,278.4296,P35354,BE0000262,Prostaglandin G/H synthase 2,Humans,inhibitor,yes
DB00132,alpha-Linolenic acid,small molecule,approved;investigational;nutraceutical,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,DTOSIQBPPRVQHS-PDBXOOCHSA-N,278.4296,O60427,BE0000888,Acyl-CoA (8-3)-desaturase,Humans,ligand,yes
DB00132,alpha-Linolenic acid,small molecule,approved;investigational;nutraceutical,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,DTOSIQBPPRVQHS-PDBXOOCHSA-N,278.4296,O95864,BE0002246,Acyl-CoA 6-desaturase,Humans,ligand,yes
DB00132,alpha-Linolenic acid,small molecule,approved;investigational;nutraceutical,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,DTOSIQBPPRVQHS-PDBXOOCHSA-N,278.4296,Q8NER1,BE0001023,Transient receptor potential cation channel subfamily V member 1,Humans,inhibitor,yes
DB00135,Tyrosine,small molecule,approved;investigational;nutraceutical,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,OUYCCCASQSFEME-QMMMGPOBSA-N,181.1885,P07101,BE0000614,Tyrosine 3-monooxygenase,Humans,binder,yes
DB00136,Calcitriol,small molecule,approved;nutraceutical,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,GMRQFYUYWCNGIN-NKMMMXOESA-N,416.6365,P11473,BE0000779,Vitamin D3 receptor,Humans,agonist,yes
DB00140,Riboflavin,small molecule,approved;investigational;nutraceutical;vet_approved,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,AUNGANRZJHBGPY-SCRDCRAPSA-N,376.3639,Q969G6,BE0000370,Riboflavin kinase,Humans,ligand,yes
DB00140,Riboflavin,small molecule,approved;investigational;nutraceutical;vet_approved,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,AUNGANRZJHBGPY-SCRDCRAPSA-N,376.3639,P0AFU8,BE0003327,Riboflavin synthase,Escherichia coli (strain K12),other,yes
DB00140,Riboflavin,small molecule,approved;investigational;nutraceutical;vet_approved,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,AUNGANRZJHBGPY-SCRDCRAPSA-N,376.3639,P30043,BE0000595,Flavin reductase (NADPH),Humans,product of,yes
DB00146,Calcifediol,small molecule,approved;nutraceutical,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,JWUBBDSIWDLEOM-DTOXIADCSA-N,400.6371,P11473,BE0000779,Vitamin D3 receptor,Humans,agonist,yes
DB00147,Pyridoxal,small molecule,experimental;nutraceutical,CC1=NC=C(CO)C(C=O)=C1O,RADKZDMFGJYCBB-UHFFFAOYSA-N,167.162,O00764,BE0000042,Pyridoxal kinase,Humans,,yes
DB00148,Creatine,small molecule,approved;investigational;nutraceutical,CN(CC(O)=O)C(N)=N,CVSVTCORWBXHQV-UHFFFAOYSA-N,131.1332,P06732,BE0000714,Creatine kinase M-type,Humans,ligand,yes
DB00148,Creatine,small molecule,approved;investigational;nutraceutical,CN(CC(O)=O)C(N)=N,CVSVTCORWBXHQV-UHFFFAOYSA-N,131.1332,P12532,BE0000171,"Creatine kinase U-type, mitochondrial",Humans,ligand,yes
DB00148,Creatine,small molecule,approved;investigational;nutraceutical,CN(CC(O)=O)C(N)=N,CVSVTCORWBXHQV-UHFFFAOYSA-N,131.1332,P12277,BE0000082,Creatine kinase B-type,Humans,ligand,yes
DB00148,Creatine,small molecule,approved;investigational;nutraceutical,CN(CC(O)=O)C(N)=N,CVSVTCORWBXHQV-UHFFFAOYSA-N,131.1332,P17540,BE0000410,"Creatine kinase S-type, mitochondrial",Humans,ligand,yes
DB00148,Creatine,small molecule,approved;investigational;nutraceutical,CN(CC(O)=O)C(N)=N,CVSVTCORWBXHQV-UHFFFAOYSA-N,131.1332,P48029,BE0000375,Sodium- and chloride-dependent creatine transporter 1,Humans,,yes
DB00148,Creatine,small molecule,approved;investigational;nutraceutical,CN(CC(O)=O)C(N)=N,CVSVTCORWBXHQV-UHFFFAOYSA-N,131.1332,Q14353,BE0000567,Guanidinoacetate N-methyltransferase,Humans,product of,yes
DB00150,Tryptophan,small molecule,approved;nutraceutical;withdrawn,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,QIVBCDIJIAJPQS-VIFPVBQESA-N,204.2252,P14902,BE0000693,"Indoleamine 2,3-dioxygenase 1",Humans,binder,yes
DB00152,Thiamine,small molecule,approved;investigational;nutraceutical;vet_approved,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,JZRWCGZRTZMZEH-UHFFFAOYSA-N,265.355,Q9H3S4,BE0000157,Thiamine pyrophosphokinase 1,Humans,substrate,yes
DB00152,Thiamine,small molecule,approved;investigational;nutraceutical;vet_approved,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,JZRWCGZRTZMZEH-UHFFFAOYSA-N,265.355,P0AFG8,BE0002003,Pyruvate dehydrogenase E1 component,Escherichia coli (strain K12),cofactor,yes
DB00153,Ergocalciferol,small molecule,approved;nutraceutical,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,MECHNRXZTMCUDQ-RKHKHRCZSA-N,396.6484,P11473,BE0000779,Vitamin D3 receptor,Humans,agonist,yes
DB00154,Dihomo-gamma-linolenic acid,small molecule,investigational;nutraceutical,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,HOBAELRKJCKHQD-QNEBEIHSSA-N,306.4828,P35354,BE0000262,Prostaglandin G/H synthase 2,Humans,,yes
DB00154,Dihomo-gamma-linolenic acid,small molecule,investigational;nutraceutical,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,HOBAELRKJCKHQD-QNEBEIHSSA-N,306.4828,P23219,BE0000017,Prostaglandin G/H synthase 1,Humans,inhibitor,yes
DB00157,NADH,small molecule,approved;nutraceutical,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,BOPGDPNILDQYTO-NNYOXOHSSA-N,665.441,P03897,BE0000196,NADH-ubiquinone oxidoreductase chain 3,Humans,binder,yes
DB00158,Folic acid,small molecule,approved;nutraceutical;vet_approved,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,441.3975,Q96NT5,BE0001048,Proton-coupled folate transporter,Humans,modulator,yes
DB00158,Folic acid,small molecule,approved;nutraceutical;vet_approved,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,441.3975,P41440,BE0004711,Reduced folate transporter,Humans,modulator,yes
DB00159,Icosapent,small molecule,approved;nutraceutical,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,JAZBEHYOTPTENJ-JLNKQSITSA-N,302.451,P35354,BE0000262,Prostaglandin G/H synthase 2,Humans,inhibitor,yes
DB00159,Icosapent,small molecule,approved;nutraceutical,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,JAZBEHYOTPTENJ-JLNKQSITSA-N,302.451,P23219,BE0000017,Prostaglandin G/H synthase 1,Humans,inhibitor,yes
DB00159,Icosapent,small molecule,approved;nutraceutical,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,JAZBEHYOTPTENJ-JLNKQSITSA-N,302.451,P37231,BE0000215,Peroxisome proliferator-activated receptor gamma,Humans,agonist;regulator,yes
DB00159,Icosapent,small molecule,approved;nutraceutical,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,JAZBEHYOTPTENJ-JLNKQSITSA-N,302.451,Q03181,BE0001007,Peroxisome proliferator-activated receptor delta,Humans,agonist,yes
DB00159,Icosapent,small molecule,approved;nutraceutical,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,JAZBEHYOTPTENJ-JLNKQSITSA-N,302.451,O14842,BE0000688,Free fatty acid receptor 1,Humans,agonist,yes
DB00159,Icosapent,small molecule,approved;nutraceutical,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,JAZBEHYOTPTENJ-JLNKQSITSA-N,302.451,P32418,BE0000986,Sodium/calcium exchanger 1,Humans,inhibitor,yes
DB00159,Icosapent,small molecule,approved;nutraceutical,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,JAZBEHYOTPTENJ-JLNKQSITSA-N,302.451,O15540,BE0001821,"Fatty acid-binding protein, brain",Humans,agonist,yes
DB00162,Vitamin A,small molecule,approved;nutraceutical;vet_approved,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,FPIPGXGPPPQFEQ-OVSJKPMPSA-N,286.4516,P48443,BE0000707,Retinoic acid receptor RXR-gamma,Humans,binder,yes
DB00165,Pyridoxine,small molecule,approved;investigational;nutraceutical;vet_approved,CC1=C(O)C(CO)=C(CO)C=N1,LXNHXLLTXMVWPM-UHFFFAOYSA-N,169.1778,P20711,BE0002151,Aromatic-L-amino-acid decarboxylase,Humans,cofactor,yes
